Periode,Beban
1,49.07
2,54.84
3,59.46
4,62.35
5,65.24
6,68.12
1,50.23
2,56
3,60
4,62.93
5,65.81
6,68.7
1,51.96
2,57.15
3,60.62
4,63.51
5,66.39
6,69.28
1,52.54
2,58.31
3,61.2
4,64.08
5,66.97
6,69.86
1,53.69
2,58.89
3,61.77
4,64.66
5,67.55
6,70.43
