Periode,Beban
1,23.09
2,27.71
3,29.44
4,31.75
5,33.48
6,35.80
1,24.82
2,28.29
3,30.02
4,32.33
5,34.06
6,36.37
1,25.40
2,28.57
3,30.31
4,32.62
5,34.35
6,37.24
1,27.13
2,28.86
3,30.6
4,32.90
5,34.64
6,37.53
1,27.42
2,29.15
3,31.17
4,33.19
5,35.21
6,38.68
